license_id,brand_name,ingredient,drugbank_id,potential_indication,source
EMEA/H/C/004675,Epidyolex,CANNABIDIOL,DB09061,developmental and epileptic encephalopathy,TxGNN Knowledge Graph
EMEA/H/C/004675,Epidyolex,CANNABIDIOL,DB09061,cutis verticis gyrata,TxGNN Knowledge Graph
EMEA/H/C/004675,Epidyolex,CANNABIDIOL,DB09061,Dravet syndrome,TxGNN Knowledge Graph
EMEA/H/C/004675,Epidyolex,CANNABIDIOL,DB09061,early myoclonic encephalopathy,TxGNN Knowledge Graph
EMEA/H/C/000115,Zyprexa,OLANZAPINE,DB00334,anxiety disorder,TxGNN Knowledge Graph
EMEA/H/C/000115,Zyprexa,OLANZAPINE,DB00334,endogenous depression,TxGNN Knowledge Graph
EMEA/H/C/000115,Zyprexa,OLANZAPINE,DB00334,manic bipolar affective disorder,TxGNN Knowledge Graph
EMEA/H/C/000115,Zyprexa,OLANZAPINE,DB00334,major depressive disorder,TxGNN Knowledge Graph
EMEA/H/C/000115,Zyprexa,OLANZAPINE,DB00334,unipolar depression,TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,familial hyperlipidemia,TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,hyperlipidemia,TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,obsolete familial combined hyperlipidemia,TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,homozygous familial hypercholesterolemia,TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,"hyperlipidemia, familial combined, LPL related",TxGNN Knowledge Graph
EMEA/H/C/004959,Nustendi,EZETIMIBE,DB00973,sitosterolemia,TxGNN Knowledge Graph
EMEA/H/C/003943,Taltz,IXEKIZUMAB,DB11569,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/000777,Adenuric,FEBUXOSTAT,DB04854,obsolete hyperuricemia (disease),TxGNN Knowledge Graph
EMEA/H/C/002576,Remsima,INFLIXIMAB,DB00065,Crohn disease,TxGNN Knowledge Graph
EMEA/H/C/002576,Remsima,INFLIXIMAB,DB00065,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/002576,Remsima,INFLIXIMAB,DB00065,Crohn's colitis,TxGNN Knowledge Graph
EMEA/H/C/002576,Remsima,INFLIXIMAB,DB00065,inflammatory bowel disease,TxGNN Knowledge Graph
EMEA/H/C/001110,Revolade,ELTROMBOPAG,DB06210,autoimmune thrombocytopenic,TxGNN Knowledge Graph
EMEA/H/C/005725,Vydura,RIMEGEPANT,DB12457,migraine disorder,TxGNN Knowledge Graph
EMEA/H/C/006022,Yesafili,AFLIBERCEPT,DB08885,metastasis from malignant tumor of colon,TxGNN Knowledge Graph
EMEA/H/C/006022,Yesafili,AFLIBERCEPT,DB08885,diabetic macular edema,TxGNN Knowledge Graph
EMEA/H/C/006022,Yesafili,AFLIBERCEPT,DB08885,retinal artery occlusion,TxGNN Knowledge Graph
EMEA/H/C/005918,Steqeyma,USTEKINUMAB,DB05679,psoriatic arthritis,TxGNN Knowledge Graph
EMEA/H/C/003787,Tadalafil Mylan,TADALAFIL,DB00820,premature ejaculation (disease),TxGNN Knowledge Graph
EMEA/H/C/003787,Tadalafil Mylan,TADALAFIL,DB00820,pulmonary hypertension,TxGNN Knowledge Graph
EMEA/H/C/003787,Tadalafil Mylan,TADALAFIL,DB00820,psychologic dyspareunia,TxGNN Knowledge Graph
EMEA/H/C/003787,Tadalafil Mylan,TADALAFIL,DB00820,benign prostatic hyperplasia (disease),TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,macular degeneration,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,diabetic retinopathy,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,diabetic macular edema,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,retinopathy of prematurity,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,diabetic cataract,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,retinal artery occlusion,TxGNN Knowledge Graph
EMEA/H/C/005545,Byooviz,RANIBIZUMAB,DB01270,exudative vitreoretinopathy,TxGNN Knowledge Graph
EMEA/H/C/005936,Tibsovo,IVOSIDENIB,DB14568,acute myeloblastic leukemia without maturation,TxGNN Knowledge Graph
EMEA/H/C/005936,Tibsovo,IVOSIDENIB,DB14568,acute myeloblastic leukemia with maturation,TxGNN Knowledge Graph
EMEA/H/C/005535,Qaialdo,SPIRONOLACTONE,DB00421,hypertensive disorder,TxGNN Knowledge Graph
EMEA/H/C/005535,Qaialdo,SPIRONOLACTONE,DB00421,primary aldosteronism,TxGNN Knowledge Graph
EMEA/H/C/005535,Qaialdo,SPIRONOLACTONE,DB00421,hyperaldosteronism,TxGNN Knowledge Graph
EMEA/H/C/005535,Qaialdo,SPIRONOLACTONE,DB00421,Waterhouse-Friderichsen syndrome,TxGNN Knowledge Graph
EMEA/H/C/005535,Qaialdo,SPIRONOLACTONE,DB00421,Bartter disease,TxGNN Knowledge Graph
EMEA/H/C/006621,Gotenfia,GOLIMUMAB,DB06674,"spondyloarthropathy, susceptibility to",TxGNN Knowledge Graph
EMEA/H/C/006299,Enzalutamide Viatris,ENZALUTAMIDE,DB08899,prostate carcinoma,TxGNN Knowledge Graph
EMEA/H/C/006299,Enzalutamide Viatris,ENZALUTAMIDE,DB08899,familial prostate carcinoma,TxGNN Knowledge Graph
