license_id,brand_name,ingredient,drugbank_id,potential_indication,source,score
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,visceral calciphylaxis,TxGNN Deep Learning,0.9999984502792358
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,primary release disorder of platelets,TxGNN Deep Learning,0.9999983310699464
EMEA/H/C/000942,Nplate,ROMIPLOSTIM,DB05332,primary release disorder of platelets,TxGNN Deep Learning,0.9999983310699464
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999980926513672
EMEA/H/C/005055,Jayempi,AZATHIOPRINE,DB00993,rheumatoid arthritis,TxGNN Deep Learning,0.9999979734420776
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,arterial thoracic outlet syndrome,TxGNN Deep Learning,0.9999979734420776
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,Glanzmann thrombasthenia,TxGNN Deep Learning,0.9999979734420776
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,venous thoracic outlet syndrome,TxGNN Deep Learning,0.9999979734420776
EMEA/H/C/000942,Nplate,ROMIPLOSTIM,DB05332,pseudo-von Willebrand disease,TxGNN Deep Learning,0.9999977350234984
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,neurogenic thoracic outlet syndrome,TxGNN Deep Learning,0.9999972581863404
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,vascular disease,TxGNN Deep Learning,0.9999970197677612
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,angiodysplasia of stomach,TxGNN Deep Learning,0.9999969005584716
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,blue toe syndrome,TxGNN Deep Learning,0.999996781349182
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,lymphangiectasis,TxGNN Deep Learning,0.9999966621398926
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,idiopathic spontaneous coronary artery dissection,TxGNN Deep Learning,0.9999966621398926
