drugbank_id,drug_name,disease_name,txgnn_score
DB05087,Ganaxolone,alcohol withdrawal delirium,0.9485387206077576
DB05087,Ganaxolone,antidepressant type abuse,0.9307469129562378
DB05087,Ganaxolone,hallucinogen abuse,0.9307469129562378
DB05087,Ganaxolone,barbiturate abuse,0.9307469129562378
DB05087,Ganaxolone,phencyclidine abuse,0.827630341053009
DB05087,Ganaxolone,alcohol withdrawal,0.8179569244384766
DB05087,Ganaxolone,autism spectrum disorder,0.7929863333702087
DB05087,Ganaxolone,"gaze palsy, familial horizontal, with progressive scoliosis",0.7703821659088135
DB05087,Ganaxolone,"asperger syndrome, susceptibility to",0.7613173127174377
DB05087,Ganaxolone,autism susceptibility 1,0.7544636130332947
DB05087,Ganaxolone,drug dependence,0.7468977570533752
DB05087,Ganaxolone,alcohol-related disorders,0.7330045104026794
DB05087,Ganaxolone,amelocerebrohypohidrotic syndrome,0.7305804491043091
DB05087,Ganaxolone,Wernicke-Korsakoff syndrome,0.7265034914016724
DB05087,Ganaxolone,"autism, susceptibility to",0.7205079197883606
DB05087,Ganaxolone,intellectual disability,0.7095057368278503
DB05087,Ganaxolone,adenosarcoma,0.7070541381835938
DB05087,Ganaxolone,uterine ligament adenosarcoma,0.7066771388053894
DB05087,Ganaxolone,16q24.3 microdeletion syndrome,0.7006443738937378
DB05087,Ganaxolone,chromosome 15q11.2 deletion syndrome,0.6993052959442139
DB05087,Ganaxolone,malignant mixed epithelial and mesenchymal tumor of cervix uteri,0.6992271542549133
DB05087,Ganaxolone,restless legs syndrome,0.6928554773330688
DB05087,Ganaxolone,osteopathia striata with cranial sclerosis,0.6863933205604553
DB05087,Ganaxolone,occipital pachygyria and polymicrogyria,0.6855430603027344
DB05087,Ganaxolone,neurotic disorder,0.6851316094398499
DB05087,Ganaxolone,Keipert syndrome,0.6749613881111145
DB05087,Ganaxolone,primary peritoneal carcinoma (disease),0.6729589104652405
DB05087,Ganaxolone,pediatric intraocular retinoblastoma,0.6708357334136963
DB05087,Ganaxolone,Wilms tumor,0.6683175563812256
DB05087,Ganaxolone,pediatric extraocular retinoblastoma,0.6682599782943726
DB05087,Ganaxolone,retinoblastoma,0.6680291891098022
DB05087,Ganaxolone,visual epilepsy,0.6650476455688477
DB05087,Ganaxolone,14q12 microdeletion syndrome,0.6645446419715881
DB05087,Ganaxolone,retinal cell neoplasm,0.6623436212539673
DB05087,Ganaxolone,angiocentric glioma,0.6591419577598572
DB05087,Ganaxolone,childhood testicular choriocarcinoma,0.6548829674720764
DB05087,Ganaxolone,epsilon-trimethyllysine hydroxylase deficiency,0.6547414660453796
DB05087,Ganaxolone,status epilepticus,0.6540490388870239
DB05087,Ganaxolone,childhood testicular mixed germ cell cancer,0.6535933613777161
DB05087,Ganaxolone,partial epilepsy,0.6499702334403992
DB05087,Ganaxolone,anxiety,0.6496539115905762
DB05087,Ganaxolone,primary cutaneous T-cell lymphoma,0.6480172276496887
DB05087,Ganaxolone,"hydrocephalus, nonsyndromic, autosomal recessive",0.6477099657058716
DB05087,Ganaxolone,protoplasmic astrocytoma,0.6465701460838318
DB05087,Ganaxolone,"Rett syndrome, congenital variant",0.645238995552063
DB05087,Ganaxolone,giant cell glioblastoma,0.642550528049469
DB05087,Ganaxolone,malignant mixed epithelial stromal tumor of the kidney,0.6421546339988708
DB05087,Ganaxolone,guanidinoacetate methyltransferase deficiency,0.6368154287338257
DB05087,Ganaxolone,laurin-Sandrow syndrome,0.6355491280555725
DB05087,Ganaxolone,vertebral anomalies and variable endocrine and T-cell dysfunction,0.6340773105621338
DB09061,Cannabidiol,restless legs syndrome,0.9617394804954529
DB09061,Cannabidiol,bilateral parasagittal parieto-occipital polymicrogyria,0.9599007368087769
DB09061,Cannabidiol,axial spondylometaphyseal dysplasia,0.9421951174736023
DB09061,Cannabidiol,amyotrophic lateral sclerosis,0.941525936126709
DB09061,Cannabidiol,trichomegaly-retina pigmentary degeneration-dwarfism syndrome,0.9382529258728027
DB09061,Cannabidiol,episodic kinesigenic dyskinesia,0.9372851252555847
DB09061,Cannabidiol,Mills syndrome,0.9340754151344299
DB09061,Cannabidiol,"amyotrophic lateral sclerosis, susceptibility to",0.9339904189109802
DB09061,Cannabidiol,lower motor neuron syndrome with late-adult onset,0.9321157336235046
DB09061,Cannabidiol,lethal arthrogryposis-anterior horn cell disease syndrome,0.9317655563354492
DB09061,Cannabidiol,monomelic amyotrophy,0.9306579232215881
DB09061,Cannabidiol,amyotrohpic lateral sclerosis type 22,0.9288955926895142
DB09061,Cannabidiol,PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation,0.9239336252212524
DB09061,Cannabidiol,neonatal period electroclinical syndrome,0.9230342507362366
DB09061,Cannabidiol,1q44 microdeletion syndrome,0.9222296476364136
DB09061,Cannabidiol,"myoclonic epilepsy, Hartung type",0.9200773239135742
DB09061,Cannabidiol,developmental and epileptic encephalopathy,0.9199495911598206
DB09061,Cannabidiol,genetic lethal multiple congenital anomalies/dysmorphic syndrome,0.9192265868186951
